Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Neji Hyuga,SSR,NRSA02-SSR-013L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Gaara,SSR,NRSA02-SSR-014L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,SSR,NRSA02-SSR-015L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,SSR,NRSA02-SSR-016L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kabuto Yakushi,SSR,NRSA02-SSR-017L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Hinata Hyuga,SSR,NRSA02-SSR-018L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Choji Akimichi,SSR,NRSA02-SSR-019L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Ino Yamanaka,SSR,NRSA02-SSR-020L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Shikamaru Nara,SSR,NRSA02-SSR-021L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kiba Inuzuka,SSR,NRSA02-SSR-022L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Shino Aburame,SSR,NRSA02-SSR-023L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Haku,SR,NRSA01-SR-001L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku,SR,NRSA01-SR-002L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Tazuna,SR,NRSA01-SR-003L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi Hatake,SR,NRSA01-SR-004L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi Hatake,SR,NRSA01-SR-005L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SR,NRSA01-SR-006L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SR,NRSA01-SR-007L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SR,NRSA01-SR-008L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SR,NRSA01-SR-009L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SR,NRSA01-SR-010L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Mizuki,SR,NRSA01-SR-011L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sakura Haruno,SR,NRSA01-SR-012L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sakura Haruno,SR,NRSA01-SR-013L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Iruka Umino,SR,NRSA01-SR-014L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Hiruzen Sarutobi,SR,NRSA01-SR-015L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Zabuza Momochi,SR,NRSA01-SR-016L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Zabuza Momochi,SR,NRSA01-SR-017L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Zabuza Momochi,SR,NRSA01-SR-018L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sasuke Uchiha,SR,NRSA01-SR-019L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sasuke Uchiha,SR,NRSA01-SR-020L2,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Hinata Hyuga,SR,NRSA02-SR-001L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Choji Akimichi,SR,NRSA02-SR-002L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Choji Akimichi,SR,NRSA02-SR-003L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kabuto Yakushi,SR,NRSA02-SR-004L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Anko Mitarashi,SR,NRSA02-SR-005L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Ino Yamanaka,SR,NRSA02-SR-006L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Ino Yamanaka,SR,NRSA02-SR-007L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Orochimaru,SR,NRSA02-SR-008L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto Uzumaki,SR,NRSA02-SR-009L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto Uzumaki,SR,NRSA02-SR-010L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Neji Hyuga,SR,NRSA02-SR-011L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kiba Inuzuka,SR,NRSA02-SR-012L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Ibiki Morino,SR,NRSA02-SR-013L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Temari,SR,NRSA02-SR-014L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Gaara,SR,NRSA02-SR-015L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,SR,NRSA02-SR-016L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,SR,NRSA02-SR-017L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sakura Haruno,SR,NRSA02-SR-018L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sakura Haruno,SR,NRSA02-SR-019L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sasuke Uchiha,SR,NRSA02-SR-020L2,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Enter: Naruto Uzumaki! 1,R,NRSA01-R-001L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Enter: Naruto Uzumaki! 2,R,NRSA01-R-002L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Enter: Naruto Uzumaki! 3,R,NRSA01-R-003L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Enter: Naruto Uzumaki! 4,R,NRSA01-R-004L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Enter: Naruto Uzumaki! 5,R,NRSA01-R-005L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
You Failed! Kakashi's Final Decision 1,R,NRSA01-R-006L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
You Failed! Kakashi's Final Decision 2,R,NRSA01-R-007L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
You Failed! Kakashi's Final Decision 3,R,NRSA01-R-008L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
You Failed! Kakashi's Final Decision 4,R,NRSA01-R-009L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
You Failed! Kakashi's Final Decision 5,R,NRSA01-R-010L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
A Dangerous Mission! Journey to the Land of Waves! 1,R,NRSA01-R-011L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
A Dangerous Mission! Journey to the Land of Waves! 2,R,NRSA01-R-012L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
A Dangerous Mission! Journey to the Land of Waves! 3,R,NRSA01-R-013L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
A Dangerous Mission! Journey to the Land of Waves! 4,R,NRSA01-R-014L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
A Dangerous Mission! Journey to the Land of Waves! 5,R,NRSA01-R-015L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Assassin of the Mist! 1,R,NRSA01-R-016L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Assassin of the Mist! 2,R,NRSA01-R-017L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Assassin of the Mist! 3,R,NRSA01-R-018L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Assassin of the Mist! 4,R,NRSA01-R-019L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Assassin of the Mist! 5,R,NRSA01-R-020L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Oath of Pain 1,R,NRSA01-R-021L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Oath of Pain 2,R,NRSA01-R-022L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Oath of Pain 3,R,NRSA01-R-023L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Oath of Pain 4,R,NRSA01-R-024L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Oath of Pain 5,R,NRSA01-R-025L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi: Sharingan Warrior 1,R,NRSA01-R-026L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi: Sharingan Warrior 2,R,NRSA01-R-027L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi: Sharingan Warrior 3,R,NRSA01-R-028L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi: Sharingan Warrior 4,R,NRSA01-R-029L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi: Sharingan Warrior 5,R,NRSA01-R-030L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Battle on the Bridge! Zabuza Returns! 1,R,NRSA01-R-031L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Battle on the Bridge! Zabuza Returns! 2,R,NRSA01-R-032L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Battle on the Bridge! Zabuza Returns! 3,R,NRSA01-R-033L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Battle on the Bridge! Zabuza Returns! 4,R,NRSA01-R-034L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Battle on the Bridge! Zabuza Returns! 5,R,NRSA01-R-035L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 1,R,NRSA01-R-036L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 2,R,NRSA01-R-037L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 3,R,NRSA01-R-038L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 4,R,NRSA01-R-039L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 5,R,NRSA01-R-040L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Broken Seal 1,R,NRSA01-R-041L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Broken Seal 2,R,NRSA01-R-042L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Broken Seal 3,R,NRSA01-R-043L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Broken Seal 4,R,NRSA01-R-044L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Broken Seal 5,R,NRSA01-R-045L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Demon in the Snow 1,R,NRSA01-R-046L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Demon in the Snow 2,R,NRSA01-R-047L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Demon in the Snow 3,R,NRSA01-R-048L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Demon in the Snow 4,R,NRSA01-R-049L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
The Demon in the Snow 5,R,NRSA01-R-050L1,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Chunin Challenge: Rock Lee vs. Sasuke! 1,R,NRSA02-R-001L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Chunin Challenge: Rock Lee vs. Sasuke! 2,R,NRSA02-R-002L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Chunin Challenge: Rock Lee vs. Sasuke! 3,R,NRSA02-R-003L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Chunin Challenge: Rock Lee vs. Sasuke! 4,R,NRSA02-R-004L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Chunin Challenge: Rock Lee vs. Sasuke! 5,R,NRSA02-R-005L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Start Your Engines: The Chunin Exam Begins! 1,R,NRSA02-R-006L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Start Your Engines: The Chunin Exam Begins! 2,R,NRSA02-R-007L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Start Your Engines: The Chunin Exam Begins! 3,R,NRSA02-R-008L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Start Your Engines: The Chunin Exam Begins! 4,R,NRSA02-R-009L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Tenth Question: All or Nothing! 1,R,NRSA02-R-010L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Tenth Question: All or Nothing! 2,R,NRSA02-R-011L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Tenth Question: All or Nothing! 3,R,NRSA02-R-012L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Tenth Question: All or Nothing! 4,R,NRSA02-R-013L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Chunin Exam Stage 2: The Forest of Death 1,R,NRSA02-R-014L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Chunin Exam Stage 2: The Forest of Death 2,R,NRSA02-R-015L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Chunin Exam Stage 2: The Forest of Death 3,R,NRSA02-R-016L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
The Chunin Exam Stage 2: The Forest of Death 4,R,NRSA02-R-017L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto's Counterattack: Never Give In! 1,R,NRSA02-R-018L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto's Counterattack: Never Give In! 2,R,NRSA02-R-019L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Pledge: Undying Love and Protection! 1,R,NRSA02-R-020L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Pledge: Undying Love and Protection! 2,R,NRSA02-R-021L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Pledge: Undying Love and Protection! 3,R,NRSA02-R-022L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Pledge: Undying Love and Protection! 4,R,NRSA02-R-023L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sakura Blossoms! 1,R,NRSA02-R-024L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sakura Blossoms! 2,R,NRSA02-R-025L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sakura Blossoms! 3,R,NRSA02-R-026L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 1,R,NRSA02-R-027L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 2,R,NRSA02-R-028L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 3,R,NRSA02-R-029L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 4,R,NRSA02-R-030L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 5,R,NRSA02-R-031L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 6,R,NRSA02-R-032L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 7,R,NRSA02-R-033L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 8,R,NRSA02-R-034L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Battle Formation: Ino-Shika-Cho!! 9,R,NRSA02-R-035L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Clone vs. Clone: Mine are Better Than Yours! 1,R,NRSA02-R-036L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Clone vs. Clone: Mine are Better Than Yours! 2,R,NRSA02-R-037L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Clone vs. Clone: Mine are Better Than Yours! 3,R,NRSA02-R-038L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Clone vs. Clone: Mine are Better Than Yours! 4,R,NRSA02-R-039L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 1,R,NRSA02-R-040L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 2,R,NRSA02-R-041L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 3,R,NRSA02-R-042L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 4,R,NRSA02-R-043L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kunoichi Rumble: The Rivals Get Serious! 1,R,NRSA02-R-044L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kunoichi Rumble: The Rivals Get Serious! 2,R,NRSA02-R-045L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Akamaru Unleashed! Who's Top Dog Now? 1,R,NRSA02-R-046L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Akamaru Unleashed! Who's Top Dog Now? 2,R,NRSA02-R-047L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Akamaru Unleashed! Who's Top Dog Now? 3,R,NRSA02-R-048L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Akamaru Unleashed! Who's Top Dog Now? 4,R,NRSA02-R-049L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Akamaru Unleashed! Who's Top Dog Now? 5,R,NRSA02-R-050L1,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Konan,PR,NRSA-PR-001,NRSA-PR,US Exclusive Promo Cards,,,KAYOU,US,December 2025
Naruto Uzumaki,PR,NRSA-PR-002,NRSA-PR,US Exclusive Promo Cards,,,KAYOU,US,December 2025
Naruto Uzumaki,PR,NRSA-PR-003,NRSA-PR,US Exclusive Promo Cards,,,KAYOU,US,December 2025
Naruto Uzumaki,PR,NRSA-PR-004,NRSA-PR,US Exclusive Promo Cards,,,KAYOU,US,December 2025
Naruto Uzumaki,PR,NRSA-PR-005,NRSA-PR,US Exclusive Promo Cards,,,KAYOU,US,December 2025
Kakashi Hatake,PR,NRSA-PR-006,NRSA-PR,US Exclusive Promo Cards,,,KAYOU,US,December 2025